學年度,設立別,學校類別,學校統計處代碼,學校名稱,當學年度全校總量內核定新生招生名額(A),當學年度全校新生保留入學資格人數(B),當學年度全校總量內新生招生核定名額之實際註冊人數(C),當學年度全校境外(新生)學生實際註冊人數(D),當學年度全校新生註冊率(％)E=〔(C+D)/(A-B+D)〕*100％,當學年度全校招生特色說明
114,公立,一般大學,0017,國立臺北大學,2633,0,2433,171,92.87,"本校創立於1949年,歷經臺灣省立地方行政專科學校、省立法商學院、中興大學法商學院等階段,2000年,全新的「國立臺北大學」正式成立。承載過往知名的法、商優良傳統,加入了人文、電機資訊等學科後,現在的臺北大學是一所以學生為本位、朝向研究與教學並重的綜合型大學。回顧過去,本校培育了於十萬校友,遍布各公私部門,在各領域都有傑出的表現,不僅是臺灣經濟與社會發展重要的堅石,帶著臺灣經驗,進軍世界各地,也都創造了卓越的成就。本校的教育目標要培養兼具跨界專業核心能力、人文社會關懷、現代科技素養以及國際移動力的世界公民。本校促進跨校資源整合,與北科大、北醫及海洋大學共組「臺北聯合大學系統」,師生得以共享四校教學與圖書資源,拓展學習廣度和視野。本校亦與世界各地知名大學合作,協助學生在校期間就能累積世界移動能量。本校致力建立與在地社區、組織、機構的緊密鏈結管道和合作關係,善盡大學社會責任,促進社會共融。"
114,公立,一般大學,0018,國立嘉義大學,3365,19,2905,54,87.03,"有關本校招生特色說明,請詳見本校招生資訊網頁https://website.ncyu.edu.tw/admission"
114,公立,一般大學,0019,國立高雄大學,1576,1,1493,52,94.96,"一、本校擁有自由的學術研究環境,培育視野遼闊且具人文與科學素養的學生。教學單位設有人文社會科學院、法學院、管理學院、理學院、工學院等五大學院,以卓越教學自我期許作育英才。   二、強調「創新」、「新穎」及「特色」的系所,課程則著重「理論」與「實務」相結合的「應用」面,推展「全人教育」理念,提倡全方位學習的「成人」教育。設計核心學程及整合學程,並以「專業化的師資」、「科技化的設施」與「多元化的制度」提昇高等教育水準,邁向國際一流之卓越大學。   三、本校為新成立的大學,圖儀設備新穎、教學成果卓越、學術研究輝煌,每年除了聘任年輕師資(平均年齡約42歲)及廣辦各式學術交流與研討活動外,熱情友善的職員工以高效率之行政,輔以高科技設施及電子化流程服務全校師生,讓師生在多元、科技、舒適的環境中授課及學習,以期培育學生成為全球頂尖之菁英。"
114,公立,一般大學,0020,國立東華大學,2560,19,2234,219,88.88,"本校目前有人文社會科學學院、理工學院、管理學院、原住民民族學院、花師教育學院、藝術學院、環境暨海洋學院及洄瀾學院等八大學院,涵蓋領域廣泛,並且擁有學士班、碩士班、碩士在職專班及博士班完整學制,提供學生學習深度、廣度的機會及空間。在資訊科技瞬息萬變、國際情勢牽一髮動全局的新世紀,物流趨向、經濟管理已朝全球運籌方向發展,自然資源的維護與管理亦是刻不容緩,東華不但以永續經營的理念、資源整合的方式培養具有國際視野的人才,也結合地方特色、研究在地產業,舉凡石材、生物科技、電腦軟體、港區產業、觀光休閒以及東部人力資源等,兼具地域特性與時代趨勢的研究方向,正是東華躋身國際學術主流的籌碼。"
114,公立,一般大學,0021,國立暨南國際大學,1568,1,1449,112,92.97,"國立暨南國際大學位於臺灣地理中心南投縣埔里鎮,四周層巒疊翠視野開闊,校地面積150公頃,國道六號通車往返學校便捷。目前設有人文、教育、管理、科技、水沙連及護理暨健康福祉等6學院,計有25個學士班（組）、28個碩士班（組）、7個碩士在職專班、14個博士班（組）。本校設校時訂定強化人才培育、增進僑教功能平衡區域發展、推廣國際交流為發展目標。設校之初,優先設置東南亞研究中心,積極推展僑教任務與國際交流,打造國際化大學特色;嗣後積極省思大學在地社會責任,期望藉由扮演地方公共智庫與人才培育孵化器兩種角色,輔以社會參與式教學與行動研究設計,連結在地城鎮的公共社群,協力發展共學共工的水沙連大學城。 目前發展重點特色：1.配合在地發展需求,設置相關專業系所。2.以培養社會實踐人才為目標,規劃跨領域特色學程。3.設置特色研究中心,開展各項社會實踐行動研究方案。4.滾動式制度修正,建構大學社會責任的支持系統。"
114,公立,技專校院,0022,國立臺灣科技大學,2941,4,3092,358,100.00,"本校四技對外招生之系組包含機械工程系、材料科學與工程系、營建工程系、化學工程系、電子工程系、電機工程系、資訊工程系、資通科技國際學士學位學程、工業管理系、企業管理系、資訊管理系、設計系工業設計組、設計系商業設計組、建築系、應用外語系及全球發展工程學士學位學程等。本校師生近年來在國際上各項排名,均有傑出表現,舉凡英國QS高等教育機構世界最佳大學、英國泰晤士報全球最佳大學、德國iF及紅點設計獎、英國TIMES世界大學領域排名(社會科學領域)、英國QS全球學科前兩百大最佳排行等。另外,各系所畢業校友畢業出路包含出國繼續深造、國內深造以及投身於產業界。由於實作經驗豐富,理論基礎完備,工作態度認真,畢業校友擔任政府要職、大學教授及企業主管者眾多,深受肯定。"
114,公立,技專校院,0023,國立雲林科技大學,2783,0,2643,121,95.18,"本校「以科技研發和創新服務推動YunTech成為負責任的智慧型大學」為發展願景,秉持「誠敬恆新」之校訓精神,為社會與產業培育人才。以「科研產業化：整合智慧平台及技術轉型,連結學術成果與產業發展需求」、「學習多元化：運用智慧科技,發展客製化學習路徑及輔導精準就業」、「決策敏捷化：提高決策效率,快速應對高教需求與學術變革」以及「品牌國際化：吸引優秀國際人才加入,提高YunTech的可見度」為目標,期望在學生培育、教師發展、大學貢獻及國際影響力等四個層面上有卓越的表現。本校現有四技（含進修）、二技、碩士（含在職）、博士班學制,提供多元入學管道,並提供多項助學方案,設置獎助學金、入學優異獎學金、校外競賽傑出表現及證照獎勵金等照顧學生方案。本校積極爭取產業界及政府資源挹注,發揮強大的產學研發實力與學術研究能力,讓師生對社會產業的貢獻被世界看見！"
114,公立,技專校院,0024,國立屏東科技大學,2553,3,2173,115,85.85,"一、專業化  (一)落實基礎學科學習能力指標要求及學生學習成效之考核,提升基本學養及專業智能。  (二)強化校園內師生互動機制及學習預警機制,激發學生積極學習之動機與意願。  (三)積極爭取與推動提升教學品質與教學設備計畫,提升教學成效。  (四)推動數位學習平台教材E化上網。  二、全人化  (一)整合基礎教學小組,強化學生基礎學科能力。  (二)廣開各種主題內涵之通識教育課程及通識教育講座,提升學生通識能力。  (三)輔導規劃跨領域學程課程及就業學程等實務特色課程。  (四)推動志願服務學習與鼓勵參與國際志工。  三、國際化  (一)加強外語能力,提升學生工作競爭力。  (二)加強國際合作之教學及學術交流,鼓勵教師以英語授課方式開授課程。  (三)加強本國學生與國際學生生活及學習互動。  (四)獎助優良學生至國外姊妹校研習,鼓勵本校學生出國參加國際學術會議。"
114,公立,技專校院,0025,國立臺北科技大學,3151,0,3121,322,99.14,"北科大創立於民國元年,與國同壽,畢業校友十餘萬人,培育無數臺灣各階段經濟發展關鍵產業之技術人力,臺灣上市、上櫃公司主要負責人有10%以上為本校校友,素有「企業家的搖籃」的美稱,深獲社會好評。114年Cheers調查企業最愛大學生,北科榮登技職第一,113年遠見雜誌公布的企業最愛大學生調查,榮獲技專校院第1名,全國第2名。  北科大實施校外實習及程式設計相關課程必修,亦配合國家產業發展設立主題式跨領域或新興領域學程提供學生修習,與台積電等龍頭企業合作開辦產業鏈結學程,合作企業提供實習機會,完成學程同學獲得優先面試與較高起薪之待遇。本校並為「臺北聯合大學系統」成員,北大、北醫及海大提供跨校選課、輔系、雙主修、學期交換等多元跨域學習,同學可享受四校資源及共同課程。"
114,公立,一般大學,0028,國立臺北藝術大學,746,2,708,40,95.41,"本校成立於1982年,當時名為「國立藝術學院」,2001年改名為「國立臺北藝術大學」,目前設有音樂、美術、戲劇、舞蹈、電影與新媒體、文化資源、人文等7個學院,10個學系/學程、19個碩士班、4個碩士在職專班、5個博士班,以及通識暨共同教育委員會。  作為台灣最重要的藝術人才孕育場域,北藝大宗旨為「兼顧傳統與現代、國際與本土並進」,培育藝術創作、展演及學術研究人才,以創造藝術發展之新契機。在設備上,北藝大除了擁有一座藝術資料完整的圖書館之外,也是全台灣目前唯一擁有自己的專業音樂廳、戲劇廳、舞蹈廳、美術館與電影院的大學學府。本校也持續進行國際交流,與世界各國藝術教育接軌,並與一流藝術校院締結姊妹校,使本校成為高度國際化之專業藝術學府。"
114,公立,一般大學,0029,國立臺灣藝術大學,1363,4,1269,55,93.64,本校博士班學制包含六大班/系所(組)、碩士班學制包含二十班/系所(組)、碩士在職專班學制包含十三班/系所(組)、學士班學制包含十五學系(學程)、進修學士班學制包含十一學系、二年制在職專班學制包含六學系。
114,公立,一般大學,0030,國立臺東大學,1499,20,1277,7,86.41,"國立臺東大學創立於民國37年,早期為一所以培育國小師資為主之師範學院；民國92年8月1日改制並更名為「國立臺東大學」,除原本的師範學院外,再增設人文學院及理工學院,成為一所綜合型大學；民國103年,隨著本校知本校區落成啟用,各學院全數遷至知本校區(即校本部),以發展學術研究及教學活動為主,而臺東校區則規劃為產學營運、推廣教育暨各類特色中心,帶動地方發展。 本校設有師範、人文及理工學院,教學及研究範疇包含教育、語文、社會、人文、運動、藝術、資通訊及數理等各種領域,招收大學部、研究所及進修學制等學生,學生數約為5千人,是一所溫暖精緻、師生關係融洽的教學型大學。"
114,公立,一般大學,0031,國立宜蘭大學,1456,4,1416,13,97.54,"★榮獲2025 THE impact ranking「SDG 17：多元夥伴關係」名列全球201–300名；遠見雜誌第六屆USR社會責任獎「永續報告書組績優獎」獲各界肯定永續大學。   ★校務評鑑獲最高效期六年肯定,為深獲信賴的優質大學。   ★位於宜蘭市中心,交通便捷、生活便利,另有城南校區、大礁溪林場、五結校區、金六結農場、南澳農場等多元教學場域,提供專業跨領域課程,厚植人工智慧、綠色科技、精準健康、高齡產業、智慧農業等技術。   ★教育部人工智慧學程大學聯盟(TAICA)夥伴學校,串聯國內頂尖大學AI課程與師資,成為東部AI發展核心基地。  ★臺灣國立大學系統,享有跨校學習資源,拓展學習視野。  ★與全球81所姊妹校及多國大學合作,培育國際化專業人才。  ★推動全職實習結合就業輔導機制,順利銜接職場,提升職涯競爭力。   ★提供各管道優秀新生獎學金,4年最高200萬,學習無後顧之憂。"
114,公立,一般大學,0032,國立聯合大學,2053,0,1881,12,91.67,"現有「理工學院」、「電機資訊學院」、「管理學院」、「客家研究學院」、「人文與社會學院」及「設計學院」,包含19個學系(含15個碩士班)、2個學位學程、1個在職專班、1個獨立研究所、1個原住民專班、1個博士學位學程、1個博士班。本校針對「在地文化」、「優質教學」、「研究創新」及「社會服務」四大願景進行規劃,積極推動跨領域人才培訓,擴大產、學、研人工智慧策略聯盟,強化學生產學實習與就業能力,拓展國際移動力,鍛造出就業競爭力。"
114,公立,技專校院,0033,國立虎尾科技大學,3238,0,2995,54,92.62,"國立虎尾科技大學創校迄今逾45年,在精密機械、光機電整合、資通訊應用以及生物科技等工程領域極具創新研發能量。校內已建置國立學校唯一民航局核准之航空維修訓練中心及教育部補助之智能機械與智慧製造研究中心。107年榮獲教育部高等教育深耕計畫並經費補助為全國科大第三名,107年至114年期間每年均獲得教育部補助金額逾2.4億元。本校各系參與中華工程教育學會工程教育認證或委託台灣評鑑協會辦理大專校院教學品保服務計畫,全數系所均獲通過。在111年至113年期間,本校技術移轉件數為88件共5,506萬元；企業產學合作計畫件數為741件共3.35億元；財團法人產學合作計畫件數為253件共1.4億元。學校積極公開重要資訊,建立校友、產企業良好互動與溝通機制,提升校務透明度與公共性。強化校務研究制度優化教務行政、調整招生策略,提供多元協助與資源,善用財務管理,深化產學合作,持續提升教育品質與學生受教權益。"
114,公立,一般大學,0035,國立臺南藝術大學,415,0,383,11,92.49,"本校以「修藝進德,臻於卓越」為校訓,致力培育兼具藝術創造力與人文關懷的專業人才。秉持「藝術承傳、守護、轉化、創新」的教育使命,發展「藝術擴張、跨域、實驗、連結」的辦學策略,推動藝術教育與文化創新並進。本校以通識教育與專業學習並重,結合師徒制、工作室教學、跨域合作與實務研究,營造自由創作與思辨並行的學習環境,使學生在藝術實踐中厚植文化底蘊與創新能力。校園以藝術為核心,聚焦「在地連結與國際視野」、「傳統素養與創新能力」、「創造力與應用力融合」、「藝術聚落與生活美學發展」及「全藝術交流與科藝整合之元宇宙空間」五大發展目標,建構全方位藝術教育體系。透過跨域整合、產官學合作及國際交流,臺南藝大積極連結歷史、文化與科技創新,培育兼具創意思維、社會關懷與全球視野的藝術領航人才,讓藝術成為引領社會永續發展的核心力量。"
114,公立,一般大學,0036,國立臺南大學,1685,0,1557,25,92.51,"國立臺南大學是南臺灣唯一百年綜合大學,創校至今118年,秉持傳統品德素養,志在培育具備「仁智誠正」之專業人才,經歷師專、師院改制,並於民國93年正式轉型為綜合大學,符應社會趨勢,不斷創新,陸續創立教育、人文與社會、藝術、理工、環境與生態、管理等6大學院21個學系,另設有25個碩士班、6個博士班,16個碩士在職專班。提供專業領域人才繼續深造之優良學習環境。本校立基臺南,以深耕在地,邁向國際為發展願景。除持續培育學生基本能力外,因應產業人才需求,與地區性產業進行產學合作,打造府城在地化特色大學。"
114,公立,一般大學,0037,國立臺北教育大學,1607,16,1522,51,95.80,"設有教育學院、人文藝術學院及理學院三大學院,共16個學系、24個碩士班、3個學位學程及4個博士班,致力培育兼具教育專業、藝術創新與科技應用能力的優質人才。長年深耕教育領域,培養出無數卓越師資,榮獲教育部核定為師資培育公費生學校,並設有「卓越師資獎學金」,持續培育小學、幼兒及特殊教育教師。  【教育學院】為文教法律、課程教學及心理諮商專業的重要搖籃,栽培出全臺最多小學校長與教師,是推動「雙語國家政策發展藍圖」重鎮。【人文藝術學院】深耕人文專業、藝術設計與創意文化,培育兼具美感思維與多元創新的文創人才。【理學院】領航數學與科學教育,發展數位學習、AI人工智慧、玩具遊戲設計與運動休閒產業,成為推動產學合作的新生力量  近年畢業生就業率高達96%以上,並榮登多項國內外評比：連續入選英國QS「亞洲最佳大學前500大」、獲《天下》USR大學公民調查第四名,以及教育部藝術教育貢獻獎大專組「績優學校獎」。"
114,公立,一般大學,0039,國立臺中教育大學,1357,0,1312,41,96.78,"本校創建於1899年,融合百年師資培育之社會楷模理念、博雅專業理想與教育專業特色,已發展「教育學院」、「人文學院」、「理學院」及「管理學院」四個學院,是一所兼具文理藝術特色、教育研究專業、師資培育功能及產業創新發展人才培育的精緻大學。秉持「承百年師範,立未來教大」治校理念,因應社會環境變遷及全球化的挑戰,本校持續透過課程規劃,提升學生跨領域、雙語、量化分析及數位能力；運用數位化教學設備及社群共學合作,促進學生自主學習及教師教學研究能力；在教學面導入業界出題師生解題合作機制,彌縫學用落差並活化教學內容；在學生學習面,除鏈結在地區域需求鼓勵社會參與,培養人文關懷素養外,也積極擴展國際交流,提供交換生、雙聯學制、海外志工及實習等機會,開拓國際視野。本校透過課程學習與非課程活動薰陶,提升語言溝通、數位素養、量化分析、自主學習、問題解決的能力,培養能掌握社會脈動及運用科技工具的新世代師資與專業人才。"
114,公立,技專校院,0042,國立澎湖科技大學,741,0,485,2,65.55,"本校未來中長程校務發展目標旨在建構「島嶼產業應用型科技大學」,以澎湖離島特性,配合在地特色產業,以觀光遊憩、海洋水產及綠色能源為發展主軸,積極推動水產養殖、食品加工與安全、觀光休閒、海洋遊憩與綠能相關教學、研發與產學合作,並導入外來資源,以協助澎湖地方產業、經濟與文化之提升,強化學生專業學習與實務之連結,精進學生就業競爭力,以培育優質產業經營實務人才,並帶動地方繁榮與發展。"
